in s,C2 in V
4.0776624E-02,-7.56117E-01
4.0776768E-02,-7.56117E-01
4.0776912E-02,-7.63930E-01
4.0777056E-02,-7.63930E-01
4.0777200E-02,-7.83461E-01
4.0777344E-02,-7.87367E-01
4.0777488E-02,-7.97133E-01
4.0777632E-02,-8.08852E-01
4.0777776E-02,-8.14711E-01
4.0777920E-02,-8.30336E-01
4.0778064E-02,-8.40102E-01
4.0778208E-02,-8.53773E-01
4.0778352E-02,-8.67445E-01
4.0778496E-02,-8.79164E-01
4.0778640E-02,-8.83070E-01
4.0778784E-02,-8.81117E-01
4.0778928E-02,-9.00648E-01
4.0779072E-02,-9.00648E-01
4.0779216E-02,-9.24086E-01
4.0779360E-02,-9.08461E-01
4.0779504E-02,-9.18227E-01
4.0779648E-02,-9.14320E-01
4.0779792E-02,-9.12367E-01
4.0779936E-02,-9.16273E-01
4.0780080E-02,-9.12367E-01
4.0780224E-02,-9.08461E-01
4.0780368E-02,-8.96742E-01
4.0780512E-02,-8.86977E-01
4.0780656E-02,-8.73305E-01
4.0780800E-02,-8.63539E-01
4.0780944E-02,-8.55727E-01
4.0781088E-02,-8.30336E-01
4.0781232E-02,-8.06898E-01
4.0781376E-02,-7.95180E-01
4.0781520E-02,-7.73695E-01
4.0781664E-02,-7.50258E-01
4.0781808E-02,-7.28773E-01
4.0781952E-02,-6.99477E-01
4.0782096E-02,-6.79945E-01
4.0782240E-02,-6.56508E-01
4.0782384E-02,-6.36977E-01
4.0782528E-02,-5.95961E-01
4.0782672E-02,-5.78383E-01
4.0782816E-02,-5.54945E-01
4.0782960E-02,-5.31508E-01
4.0783104E-02,-5.10023E-01
4.0783248E-02,-4.82680E-01
4.0783392E-02,-4.51430E-01
4.0783536E-02,-4.41664E-01
4.0783680E-02,-4.16273E-01
4.0783824E-02,-3.90883E-01
4.0783968E-02,-3.71352E-01
4.0784112E-02,-3.57680E-01
4.0784256E-02,-3.30336E-01
4.0784400E-02,-3.14711E-01
4.0784544E-02,-2.93227E-01
4.0784688E-02,-2.79555E-01
4.0784832E-02,-2.63930E-01
4.0784976E-02,-2.54164E-01
4.0785120E-02,-2.42445E-01
4.0785264E-02,-2.32680E-01
4.0785408E-02,-2.20961E-01
4.0785552E-02,-2.09242E-01
4.0785696E-02,-2.07289E-01
4.0785840E-02,-2.03383E-01
4.0785984E-02,-1.79945E-01
4.0786128E-02,-1.74086E-01
4.0786272E-02,-1.76039E-01
4.0786416E-02,-1.66273E-01
4.0786560E-02,-1.64320E-01
4.0786704E-02,-1.54555E-01
4.0786848E-02,-1.50648E-01
4.0786992E-02,-1.50648E-01
4.0787136E-02,-1.48695E-01
4.0787280E-02,-1.38930E-01
4.0787424E-02,-1.29164E-01
4.0787568E-02,-1.21352E-01
4.0787712E-02,-1.11586E-01
4.0787856E-02,-1.07680E-01
4.0788000E-02,-1.05727E-01
4.0788144E-02,-9.98672E-02
4.0788288E-02,-9.01016E-02
4.0788432E-02,-8.22891E-02
4.0788576E-02,-7.05703E-02
4.0788720E-02,-6.66641E-02
4.0788864E-02,-5.10391E-02
4.0789008E-02,-4.32266E-02
4.0789152E-02,-2.56484E-02
4.0789296E-02,-2.36953E-02
4.0789440E-02,-6.11719E-03
4.0789584E-02,-2.57813E-04
4.0789728E-02,9.50781E-03
4.0789872E-02,1.92734E-02
4.0790016E-02,1.92734E-02
4.0790160E-02,3.48984E-02
4.0790304E-02,4.46641E-02
4.0790448E-02,5.24766E-02
4.0790592E-02,6.02891E-02
4.0790736E-02,6.22422E-02
4.0790880E-02,6.81016E-02
4.0791024E-02,6.81016E-02
4.0791168E-02,6.61484E-02
4.0791312E-02,6.81016E-02
4.0791456E-02,6.61484E-02
4.0791600E-02,6.41953E-02
4.0791744E-02,5.83359E-02
4.0791888E-02,5.44297E-02
4.0792032E-02,5.05234E-02
4.0792176E-02,3.68516E-02
4.0792320E-02,2.90391E-02
4.0792464E-02,7.55469E-03
4.0792608E-02,-1.19766E-02
4.0792752E-02,-3.34609E-02
4.0792896E-02,-5.10391E-02
4.0793040E-02,-7.64297E-02
4.0793184E-02,-1.09633E-01
4.0793328E-02,-1.35023E-01
4.0793472E-02,-1.62367E-01
4.0793616E-02,-2.03383E-01
4.0793760E-02,-2.28773E-01
4.0793904E-02,-2.63930E-01
4.0794048E-02,-3.02992E-01
4.0794192E-02,-3.42055E-01
4.0794336E-02,-3.81117E-01
4.0794480E-02,-4.29945E-01
4.0794624E-02,-4.65102E-01
4.0794768E-02,-5.11977E-01
4.0794912E-02,-5.51039E-01
4.0795056E-02,-5.92055E-01
4.0795200E-02,-6.33070E-01
4.0795344E-02,-6.81898E-01
4.0795488E-02,-7.30727E-01
4.0795632E-02,-7.71742E-01
4.0795776E-02,-8.06898E-01
4.0795920E-02,-8.57680E-01
4.0796064E-02,-8.98695E-01
4.0796208E-02,-9.37758E-01
4.0796352E-02,-9.72914E-01
4.0796496E-02,-1.01979E+00
4.0796640E-02,-1.04518E+00
4.0796784E-02,-1.09596E+00
4.0796928E-02,-1.12721E+00
4.0797072E-02,-1.15846E+00
4.0797216E-02,-1.18385E+00
4.0797360E-02,-1.22487E+00
4.0797504E-02,-1.24440E+00
4.0797648E-02,-1.26784E+00
4.0797792E-02,-1.28932E+00
4.0797936E-02,-1.30104E+00
4.0798080E-02,-1.32252E+00
4.0798224E-02,-1.34205E+00
4.0798368E-02,-1.35377E+00
4.0798512E-02,-1.36745E+00
4.0798656E-02,-1.37330E+00
4.0798800E-02,-1.37916E+00
4.0798944E-02,-1.37916E+00
4.0799088E-02,-1.38307E+00
4.0799232E-02,-1.38698E+00
4.0799376E-02,-1.38698E+00
4.0799520E-02,-1.36940E+00
4.0799664E-02,-1.37330E+00
4.0799808E-02,-1.35963E+00
4.0799952E-02,-1.35182E+00
4.0800096E-02,-1.33034E+00
4.0800240E-02,-1.31666E+00
4.0800384E-02,-1.30690E+00
4.0800528E-02,-1.28932E+00
4.0800672E-02,-1.27174E+00
4.0800816E-02,-1.24440E+00
4.0800960E-02,-1.22487E+00
4.0801104E-02,-1.21120E+00
4.0801248E-02,-1.18190E+00
4.0801392E-02,-1.15651E+00
4.0801536E-02,-1.13307E+00
4.0801680E-02,-1.11159E+00
4.0801824E-02,-1.08620E+00
4.0801968E-02,-1.06471E+00
4.0802112E-02,-1.03737E+00
4.0802256E-02,-9.98305E-01
4.0802400E-02,-9.74867E-01
4.0802544E-02,-9.51430E-01
4.0802688E-02,-9.31898E-01
4.0802832E-02,-9.06508E-01
4.0802976E-02,-8.71352E-01
4.0803120E-02,-8.47914E-01
4.0803264E-02,-8.30336E-01
4.0803408E-02,-8.04945E-01
4.0803552E-02,-7.75648E-01
4.0803696E-02,-7.60023E-01
4.0803840E-02,-7.40492E-01
4.0803984E-02,-7.26820E-01
4.0804128E-02,-7.07289E-01
4.0804272E-02,-6.97523E-01
4.0804416E-02,-6.85805E-01
4.0804560E-02,-6.72133E-01
4.0804704E-02,-6.56508E-01
4.0804848E-02,-6.52602E-01
4.0804992E-02,-6.33070E-01
4.0805136E-02,-6.21352E-01
4.0805280E-02,-6.25258E-01
4.0805424E-02,-6.23305E-01
4.0805568E-02,-6.29164E-01
4.0805712E-02,-6.29164E-01
4.0805856E-02,-6.17445E-01
4.0806000E-02,-6.21352E-01
4.0806144E-02,-6.21352E-01
4.0806288E-02,-6.40883E-01
4.0806432E-02,-6.42836E-01
4.0806576E-02,-6.50648E-01
4.0806720E-02,-6.56508E-01
4.0806864E-02,-6.77992E-01
4.0807008E-02,-6.85805E-01
4.0807152E-02,-7.01430E-01
4.0807296E-02,-7.20961E-01
4.0807440E-02,-7.34633E-01
4.0807584E-02,-7.44398E-01
4.0807728E-02,-7.67836E-01
4.0807872E-02,-7.81508E-01
4.0808016E-02,-8.12758E-01
4.0808160E-02,-8.22523E-01
4.0808304E-02,-8.42055E-01
4.0808448E-02,-8.63539E-01
4.0808592E-02,-8.83070E-01
4.0808736E-02,-9.00648E-01
4.0808880E-02,-9.26039E-01
4.0809024E-02,-9.35805E-01
4.0809168E-02,-9.61195E-01
4.0809312E-02,-9.74867E-01
4.0809456E-02,-9.98305E-01
4.0809600E-02,-1.01979E+00
4.0809744E-02,-1.03151E+00
4.0809888E-02,-1.04909E+00
4.0810032E-02,-1.06862E+00
4.0810176E-02,-1.07643E+00
4.0810320E-02,-1.09401E+00
4.0810464E-02,-1.09596E+00
4.0810608E-02,-1.11354E+00
4.0810752E-02,-1.12330E+00
4.0810896E-02,-1.12721E+00
4.0811040E-02,-1.13502E+00
4.0811184E-02,-1.14088E+00
4.0811328E-02,-1.13893E+00
4.0811472E-02,-1.14870E+00
4.0811616E-02,-1.14674E+00
4.0811760E-02,-1.13893E+00
4.0811904E-02,-1.14284E+00
4.0812048E-02,-1.13698E+00
4.0812192E-02,-1.12916E+00
4.0812336E-02,-1.11745E+00
4.0812480E-02,-1.10573E+00
4.0812624E-02,-1.10182E+00
4.0812768E-02,-1.09010E+00
4.0812912E-02,-1.08034E+00
4.0813056E-02,-1.06080E+00
4.0813200E-02,-1.04909E+00
4.0813344E-02,-1.02760E+00
4.0813488E-02,-1.01979E+00
4.0813632E-02,-9.92445E-01
4.0813776E-02,-9.80727E-01
4.0813920E-02,-9.59242E-01
4.0814064E-02,-9.47523E-01
4.0814208E-02,-9.20180E-01
4.0814352E-02,-9.04555E-01
4.0814496E-02,-8.88930E-01
4.0814640E-02,-8.69398E-01
4.0814784E-02,-8.47914E-01
4.0814928E-02,-8.44008E-01
4.0815072E-02,-8.22523E-01
4.0815216E-02,-8.06898E-01
4.0815360E-02,-7.91273E-01
4.0815504E-02,-7.77602E-01
4.0815648E-02,-7.67836E-01
4.0815792E-02,-7.61977E-01
4.0815936E-02,-7.38539E-01
4.0816080E-02,-7.40492E-01
4.0816224E-02,-7.28773E-01
4.0816368E-02,-7.28773E-01
4.0816512E-02,-7.22914E-01
4.0816656E-02,-7.22914E-01
4.0816800E-02,-7.24867E-01
4.0816944E-02,-7.24867E-01
4.0817088E-02,-7.28773E-01
4.0817232E-02,-7.38539E-01
4.0817376E-02,-7.38539E-01
4.0817520E-02,-7.50258E-01
4.0817664E-02,-7.56117E-01
4.0817808E-02,-7.71742E-01
4.0817952E-02,-7.75648E-01
4.0818096E-02,-7.93227E-01
4.0818240E-02,-7.99086E-01
4.0818384E-02,-8.24477E-01
4.0818528E-02,-8.36195E-01
4.0818672E-02,-8.59633E-01
4.0818816E-02,-8.71352E-01
4.0818960E-02,-8.83070E-01
4.0819104E-02,-9.02602E-01
4.0819248E-02,-9.27992E-01
4.0819392E-02,-9.37758E-01
4.0819536E-02,-9.53383E-01
4.0819680E-02,-9.72914E-01
4.0819824E-02,-9.98305E-01
4.0819968E-02,-1.00807E+00
4.0820112E-02,-1.01979E+00
4.0820256E-02,-1.02760E+00
4.0820400E-02,-1.04713E+00
4.0820544E-02,-1.05104E+00
4.0820688E-02,-1.06666E+00
4.0820832E-02,-1.07448E+00
4.0820976E-02,-1.08229E+00
4.0821120E-02,-1.08229E+00
4.0821264E-02,-1.09205E+00
4.0821408E-02,-1.08815E+00
4.0821552E-02,-1.09205E+00
4.0821696E-02,-1.09205E+00
4.0821840E-02,-1.08229E+00
4.0821984E-02,-1.07448E+00
4.0822128E-02,-1.07057E+00
4.0822272E-02,-1.06276E+00
4.0822416E-02,-1.05104E+00
4.0822560E-02,-1.03932E+00
4.0822704E-02,-1.03151E+00
4.0822848E-02,-1.01588E+00
4.0822992E-02,-1.00612E+00
4.0823136E-02,-9.90492E-01
4.0823280E-02,-9.72914E-01
4.0823424E-02,-9.55336E-01
4.0823568E-02,-9.37758E-01
4.0823712E-02,-9.20180E-01
4.0823856E-02,-9.08461E-01
4.0824000E-02,-8.88930E-01
4.0824144E-02,-8.71352E-01
4.0824288E-02,-8.45961E-01
4.0824432E-02,-8.38148E-01
4.0824576E-02,-8.18617E-01
4.0824720E-02,-8.12758E-01
4.0824864E-02,-7.91273E-01
4.0825008E-02,-7.87367E-01
4.0825152E-02,-7.67836E-01
4.0825296E-02,-7.69789E-01
4.0825440E-02,-7.58070E-01
4.0825584E-02,-7.50258E-01
4.0825728E-02,-7.44398E-01
4.0825872E-02,-7.42445E-01
4.0826016E-02,-7.38539E-01
4.0826160E-02,-7.40492E-01
4.0826304E-02,-7.36586E-01
4.0826448E-02,-7.44398E-01
4.0826592E-02,-7.32680E-01
4.0826736E-02,-7.48305E-01
4.0826880E-02,-7.63930E-01
4.0827024E-02,-7.73695E-01
4.0827168E-02,-7.69789E-01
4.0827312E-02,-7.89320E-01
4.0827456E-02,-7.95180E-01
4.0827600E-02,-8.12758E-01
4.0827744E-02,-8.10805E-01
4.0827888E-02,-8.24477E-01
4.0828032E-02,-8.32289E-01
4.0828176E-02,-8.40102E-01
4.0828320E-02,-8.55727E-01
4.0828464E-02,-8.71352E-01
4.0828608E-02,-8.79164E-01
4.0828752E-02,-8.88930E-01
4.0828896E-02,-9.00648E-01
4.0829040E-02,-9.02602E-01
4.0829184E-02,-9.12367E-01
4.0829328E-02,-9.14320E-01
4.0829472E-02,-9.18227E-01
4.0829616E-02,-9.14320E-01
4.0829760E-02,-9.10414E-01
4.0829904E-02,-9.10414E-01
4.0830048E-02,-9.08461E-01
4.0830192E-02,-9.06508E-01
4.0830336E-02,-8.98695E-01
4.0830480E-02,-8.98695E-01
4.0830624E-02,-8.75258E-01
4.0830768E-02,-8.61586E-01
4.0830912E-02,-8.51820E-01
4.0831056E-02,-8.32289E-01
4.0831200E-02,-8.10805E-01
4.0831344E-02,-7.99086E-01
4.0831488E-02,-7.81508E-01
4.0831632E-02,-7.48305E-01
4.0831776E-02,-7.28773E-01
4.0831920E-02,-7.07289E-01
4.0832064E-02,-6.77992E-01
4.0832208E-02,-6.60414E-01
4.0832352E-02,-6.33070E-01
4.0832496E-02,-6.13539E-01
4.0832640E-02,-5.78383E-01
4.0832784E-02,-5.60805E-01
4.0832928E-02,-5.29555E-01
4.0833072E-02,-5.02211E-01
4.0833216E-02,-4.78773E-01
4.0833360E-02,-4.57289E-01
4.0833504E-02,-4.27992E-01
4.0833648E-02,-4.14320E-01
4.0833792E-02,-3.94789E-01
4.0833936E-02,-3.79164E-01
4.0834080E-02,-3.47914E-01
4.0834224E-02,-3.34242E-01
4.0834368E-02,-3.10805E-01
4.0834512E-02,-3.04945E-01
4.0834656E-02,-2.91273E-01
4.0834800E-02,-2.67836E-01
4.0834944E-02,-2.61977E-01
4.0835088E-02,-2.40492E-01
4.0835232E-02,-2.26820E-01
4.0835376E-02,-2.24867E-01
4.0835520E-02,-2.19008E-01
4.0835664E-02,-2.01430E-01
4.0835808E-02,-1.99477E-01
4.0835952E-02,-1.91664E-01
4.0836096E-02,-1.85805E-01
4.0836240E-02,-1.72133E-01
4.0836384E-02,-1.66273E-01
4.0836528E-02,-1.60414E-01
4.0836672E-02,-1.56508E-01
4.0836816E-02,-1.56508E-01
4.0836960E-02,-1.48695E-01
4.0837104E-02,-1.40883E-01
4.0837248E-02,-1.42836E-01
4.0837392E-02,-1.33070E-01
4.0837536E-02,-1.19398E-01
4.0837680E-02,-1.23305E-01
4.0837824E-02,-1.07680E-01
4.0837968E-02,-1.05727E-01
4.0838112E-02,-1.05727E-01
4.0838256E-02,-9.20547E-02
4.0838400E-02,-8.42422E-02
4.0838544E-02,-7.44766E-02
4.0838688E-02,-6.27578E-02
4.0838832E-02,-5.68984E-02
4.0838976E-02,-4.12734E-02
4.0839120E-02,-3.54141E-02
4.0839264E-02,-2.76016E-02
4.0839408E-02,-1.39297E-02
4.0839552E-02,-2.21094E-03
4.0839696E-02,1.69531E-03
4.0839840E-02,1.53672E-02
4.0839984E-02,2.90391E-02
4.0840128E-02,4.07578E-02
4.0840272E-02,3.88047E-02
4.0840416E-02,5.05234E-02
4.0840560E-02,5.44297E-02
4.0840704E-02,6.22422E-02
4.0840848E-02,5.83359E-02
4.0840992E-02,6.41953E-02
4.0841136E-02,6.81016E-02
4.0841280E-02,6.81016E-02
4.0841424E-02,7.20078E-02
4.0841568E-02,7.20078E-02
4.0841712E-02,6.41953E-02
4.0841856E-02,5.83359E-02
4.0842000E-02,4.85703E-02
4.0842144E-02,3.48984E-02
4.0842288E-02,2.90391E-02
4.0842432E-02,9.50781E-03
4.0842576E-02,-1.00234E-02
4.0842720E-02,-2.36953E-02
4.0842864E-02,-4.12734E-02
4.0843008E-02,-7.83828E-02
4.0843152E-02,-9.79141E-02
4.0843296E-02,-1.27211E-01
4.0843440E-02,-1.64320E-01
4.0843584E-02,-1.87758E-01
4.0843728E-02,-2.22914E-01
4.0843872E-02,-2.58070E-01
4.0844016E-02,-2.93227E-01
4.0844160E-02,-3.30336E-01
4.0844304E-02,-3.73305E-01
4.0844448E-02,-4.06508E-01
4.0844592E-02,-4.51430E-01
4.0844736E-02,-4.94398E-01
4.0844880E-02,-5.33461E-01
4.0845024E-02,-5.82289E-01
4.0845168E-02,-6.35023E-01
4.0845312E-02,-6.66273E-01
4.0845456E-02,-7.19008E-01
4.0845600E-02,-7.58070E-01
4.0845744E-02,-8.06898E-01
4.0845888E-02,-8.47914E-01
4.0846032E-02,-8.90883E-01
4.0846176E-02,-9.27992E-01
4.0846320E-02,-9.69008E-01
4.0846464E-02,-1.00221E+00
4.0846608E-02,-1.04909E+00
4.0846752E-02,-1.08620E+00
4.0846896E-02,-1.11159E+00
4.0847040E-02,-1.15065E+00
4.0847184E-02,-1.17799E+00
4.0847328E-02,-1.20729E+00
4.0847472E-02,-1.24049E+00
4.0847616E-02,-1.26198E+00
4.0847760E-02,-1.28737E+00
4.0847904E-02,-1.30690E+00
4.0848048E-02,-1.32252E+00
4.0848192E-02,-1.33424E+00
4.0848336E-02,-1.35963E+00
4.0848480E-02,-1.36940E+00
4.0848624E-02,-1.36549E+00
4.0848768E-02,-1.38502E+00
